Region no,Salesman no,Product Code,Units Sold
2,3,E5000000,9
3,4,A1010000,35
3,4,H8000000,6
2,2,D4000000,5
2,1,B2000000,28
4,5,D4000000,10
3,1,E5000000,19
2,2,B2000000,7
2,1,D4000000,5
1,4,H8000000,2
4,5,A1010000,28
2,2,A1010000,7
4,2,B2000000,15
2,2,C3000000,13
2,6,G7000000,6
4,2,D4000000,8
1,2,H8000000,5
1,2,H8000000,9
1,4,E5000000,9
1,4,H8000000,17
1,3,H8000000,34
2,5,G7000000,3
1,4,A1010000,5
4,4,F6000000,12
1,6,E5000000,3
3,5,A1010000,10
1,4,H8000000,11
4,3,H8000000,2
4,4,G7000000,6
3,3,F6000000,10
3,5,A1010000,1
1,2,A1010000,17
1,4,D4000000,7
4,2,B2000000,17
1,4,B2000000,16
4,3,E5000000,13
2,4,H8000000,15
3,3,D4000000,20
4,4,B2000000,10
3,5,D4000000,2
4,5,E5000000,11
1,4,B2000000,4
2,2,C3000000,1
4,4,C3000000,7
1,6,H8000000,6
3,5,C3000000,3
2,6,C3000000,1
4,5,G7000000,2
3,6,E5000000,4
2,2,D4000000,2
3,6,G7000000,3
4,3,A1010000,7
3,4,B2000000,9
2,6,H8000000,5
1,5,G7000000,18
4,6,F6000000,2
3,4,G7000000,9
1,5,F6000000,4
4,4,H8000000,9
1,2,H8000000,7
1,5,D4000000,5
1,2,G7000000,1
4,5,F6000000,2
1,2,G7000000,10
4,1,C3000000,8
1,1,G7000000,10
1,6,C3000000,8
3,3,A1010000,18
4,3,G7000000,29
2,4,C3000000,17
2,2,F6000000,19
1,5,H8000000,4
2,3,H8000000,6
1,3,F6000000,2
4,6,F6000000,24
3,6,C3000000,3
4,2,C3000000,16
1,6,F6000000,29
2,5,H8000000,8
2,1,B2000000,8
4,1,A1010000,7
3,6,E5000000,4
3,1,E5000000,12
4,4,E5000000,2
4,2,F6000000,3
2,1,F6000000,9
4,1,D4000000,2
2,1,H8000000,3
3,1,D4000000,6
1,1,C3000000,1
1,5,H8000000,20
3,1,C3000000,3
2,2,E5000000,3
1,5,D4000000,8
2,2,B2000000,3
2,1,F6000000,5
4,6,A1010000,4
1,1,G7000000,34
2,4,E5000000,6
1,2,B2000000,20
3,5,C3000000,33
2,3,F6000000,1
3,1,E5000000,6
3,3,A1010000,10
1,6,G7000000,3
2,5,G7000000,2
2,5,H8000000,6
3,2,D4000000,5
1,3,G7000000,18
2,2,E5000000,27
4,4,H8000000,25
2,5,D4000000,7
4,4,H8000000,20
2,6,D4000000,2
3,5,B2000000,2
1,2,E5000000,16
2,6,A1010000,7
1,2,F6000000,1
4,3,G7000000,6
3,6,G7000000,4
1,5,A1010000,7
3,4,A1010000,4
4,1,C3000000,7
3,2,B2000000,4
2,6,H8000000,19
4,3,E5000000,3
1,1,B2000000,5
2,3,B2000000,20
1,1,D4000000,9
4,6,A1010000,1
2,1,B2000000,25
1,3,F6000000,10
1,1,B2000000,4
4,5,B2000000,4
2,3,G7000000,24
3,2,H8000000,11
2,3,G7000000,11
4,1,F6000000,14
1,4,D4000000,8
2,5,D4000000,9
3,2,B2000000,32
4,6,C3000000,12
1,2,G7000000,18
3,1,C3000000,20
2,4,F6000000,34
3,4,F6000000,6
3,6,F6000000,14
2,1,B2000000,27
1,5,A1010000,17
1,3,F6000000,4
2,2,B2000000,7
4,1,E5000000,16
1,1,F6000000,1
1,1,G7000000,9
2,6,D4000000,8
1,3,C3000000,17
2,5,D4000000,2
4,6,E5000000,18
2,5,F6000000,12
1,1,E5000000,9
4,1,H8000000,3
3,4,E5000000,4
3,6,F6000000,7
1,2,B2000000,10
1,1,C3000000,4
4,1,H8000000,20
3,5,C3000000,3
2,2,B2000000,3
1,4,B2000000,5
3,6,D4000000,4
4,6,G7000000,4
1,3,F6000000,9
3,4,C3000000,32
2,4,E5000000,2
2,1,B2000000,1
3,3,B2000000,15
1,2,B2000000,18
4,6,D4000000,4
2,1,E5000000,10
3,3,E5000000,4
2,1,E5000000,3
2,3,D4000000,14
3,1,H8000000,15
4,3,G7000000,3
3,1,G7000000,7
2,3,C3000000,15
4,4,B2000000,1
4,1,H8000000,28
2,4,H8000000,17
3,6,F6000000,1
1,4,B2000000,6
2,1,F6000000,7
4,4,A1010000,1
3,6,A1010000,18
2,5,G7000000,13
2,1,G7000000,2
3,5,C3000000,7
3,5,B2000000,11
4,5,B2000000,17
3,2,D4000000,10
1,2,C3000000,16
4,6,D4000000,9
1,6,G7000000,10
4,4,F6000000,13
4,4,D4000000,12
4,6,C3000000,19
3,2,D4000000,1
3,6,E5000000,6
1,4,D4000000,10
4,3,H8000000,4
2,5,C3000000,1
1,4,E5000000,19
3,4,F6000000,15
3,1,C3000000,4
1,5,D4000000,34
3,2,D4000000,23
1,4,C3000000,7
3,4,A1010000,2
1,6,H8000000,18
3,5,G7000000,10
3,5,H8000000,13
4,3,E5000000,1
2,3,H8000000,32
2,3,H8000000,8
1,4,F6000000,9
4,3,H8000000,8
3,1,G7000000,3
1,2,F6000000,14
4,1,A1010000,12
1,3,B2000000,17
3,6,H8000000,4
3,5,E5000000,32
